Ciudad Autonoma de Buenos Aires , 01
Buenos Aires , 02
Catamarca , 03
Cordoba , 04
Corrientes , 05
Chaco , 06
Chubut , 07
Entre Rios , 08
Formosa , 09
Jujuy , 10
La Pampa , 11
La Rioja , 12
Mendoza , 13
Misiones , 14
Neuquen , 15
Rio Negro , 16
Salta , 17
San Juan , 18
San Luis , 19
Santa Cruz , 20
Santa Fe , 21
Santiago del Estero , 22
Tucuman , 23
Tierra del Fuego , 24
